Script started on 2023-04-05 21:38:32+05:30 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="137" LINES="18"]
[?2004h]0;yuvansasubilli@Yuvan-PC: /mnt/d/CS3205/lab4[01;32myuvansasubilli@Yuvan-PC[00m:[01;34m/mnt/d/CS3205/lab4[00m$ python3 Receive.py -d -p 7777 -n 400 -e 0.1
[?2004lSeq #:0 Time Received: 1680711000.661026 Packet dropped: false
Seq #:1 Time Received: 1680711000.6612551 Packet dropped: false
Seq #:2 Time Received: 1680711000.6613126 Packet dropped: false
Seq #:3 Time Received: 1680711000.6724942 Packet dropped: false
Seq #:5 Time Received: 1680711000.6735535 Packet dropped: true
Seq #:4 Time Received: 1680711000.6831753 Packet dropped: false
Seq #:5 Time Received: 1680711000.6833088 Packet dropped: false
Seq #:6 Time Received: 1680711000.6833901 Packet dropped: false
Seq #:8 Time Received: 1680711000.6936438 Packet dropped: true
Seq #:9 Time Received: 1680711000.6937473 Packet dropped: true
Seq #:7 Time Received: 1680711000.797937 Packet dropped: false
Seq #:8 Time Received: 1680711000.7982569 Packet dropped: false
Seq #:9 Time Received: 1680711000.8086853 Packet dropped: false
Seq #:10 Time Received: 1680711000.8091705 Packet dropped: false
Seq #:11 Time Received: 1680711000.8094857 Packet dropped: false
Seq #:12 Time Received: 1680711000.8197663 Packet dropped: false
Seq #:13 Time Received: 1680711000.8202288 Packet dropped: false
Seq #:14 Time Received: 1680711000.8203986 Packet dropped: false
Seq #:15 Time Received: 1680711000.830643 Packet dropped: false
Seq #:17 Time Received: 1680711000.8315103 Packet dropped: true
Seq #:16 Time Received: 1680711000.8415115 Packet dropped: false
Seq #:17 Time Received: 1680711000.8418705 Packet dropped: false
Seq #:18 Time Received: 1680711000.8420439 Packet dropped: false
Seq #:19 Time Received: 1680711000.8522747 Packet dropped: false
Seq #:20 Time Received: 1680711000.85242 Packet dropped: false
Seq #:21 Time Received: 1680711000.8525 Packet dropped: false
Seq #:22 Time Received: 1680711000.862694 Packet dropped: false
Seq #:23 Time Received: 1680711000.8628912 Packet dropped: false
Seq #:24 Time Received: 1680711000.8629627 Packet dropped: false
Seq #:25 Time Received: 1680711000.8730228 Packet dropped: false
Seq #:27 Time Received: 1680711000.8731265 Packet dropped: true
Seq #:26 Time Received: 1680711000.8836598 Packet dropped: false
Seq #:27 Time Received: 1680711000.883757 Packet dropped: false
Seq #:28 Time Received: 1680711000.8837855 Packet dropped: false
Seq #:29 Time Received: 1680711000.894231 Packet dropped: false
Seq #:30 Time Received: 1680711000.89446 Packet dropped: false
Seq #:31 Time Received: 1680711000.8945777 Packet dropped: false
Seq #:32 Time Received: 1680711000.9053574 Packet dropped: false
Seq #:34 Time Received: 1680711000.9056478 Packet dropped: true
Seq #:33 Time Received: 1680711000.9162512 Packet dropped: false
Seq #:35 Time Received: 1680711000.9164014 Packet dropped: true
Seq #:34 Time Received: 1680711000.9269178 Packet dropped: false
Seq #:35 Time Received: 1680711000.9270306 Packet dropped: false
Seq #:36 Time Received: 1680711000.927092 Packet dropped: false
Seq #:37 Time Received: 1680711000.9374623 Packet dropped: false
Seq #:38 Time Received: 1680711000.9376516 Packet dropped: false
Seq #:39 Time Received: 1680711000.9377005 Packet dropped: false
Seq #:40 Time Received: 1680711000.9482818 Packet dropped: false
Seq #:41 Time Received: 1680711000.948421 Packet dropped: false
Seq #:42 Time Received: 1680711000.948462 Packet dropped: false
Seq #:43 Time Received: 1680711000.9590335 Packet dropped: false
Seq #:44 Time Received: 1680711000.959141 Packet dropped: false
Seq #:45 Time Received: 1680711000.9592013 Packet dropped: false
Seq #:46 Time Received: 1680711000.9693296 Packet dropped: false
Seq #:47 Time Received: 1680711000.9694257 Packet dropped: false
Seq #:48 Time Received: 1680711000.9694655 Packet dropped: false
Seq #:49 Time Received: 1680711000.9800792 Packet dropped: false
Seq #:50 Time Received: 1680711000.9803462 Packet dropped: false
Seq #:51 Time Received: 1680711000.9805353 Packet dropped: false
Seq #:52 Time Received: 1680711000.9907355 Packet dropped: false
Seq #:53 Time Received: 1680711001.0021255 Packet dropped: false
Seq #:54 Time Received: 1680711001.0023348 Packet dropped: false
Seq #:55 Time Received: 1680711001.0023966 Packet dropped: false
Seq #:56 Time Received: 1680711001.0124526 Packet dropped: false
Seq #:57 Time Received: 1680711001.0126343 Packet dropped: false
Seq #:58 Time Received: 1680711001.012697 Packet dropped: false
Seq #:59 Time Received: 1680711001.0230844 Packet dropped: false
Seq #:60 Time Received: 1680711001.0232015 Packet dropped: false
Seq #:61 Time Received: 1680711001.023264 Packet dropped: false
Seq #:62 Time Received: 1680711001.034583 Packet dropped: false
Seq #:63 Time Received: 1680711001.034966 Packet dropped: false
Seq #:64 Time Received: 1680711001.0350769 Packet dropped: false
Seq #:65 Time Received: 1680711001.045185 Packet dropped: false
Seq #:66 Time Received: 1680711001.0453656 Packet dropped: false
Seq #:67 Time Received: 1680711001.045426 Packet dropped: false
Seq #:69 Time Received: 1680711001.055852 Packet dropped: true
Seq #:70 Time Received: 1680711001.0559583 Packet dropped: true
Seq #:68 Time Received: 1680711001.0662165 Packet dropped: false
Seq #:69 Time Received: 1680711001.0663462 Packet dropped: false
Seq #:70 Time Received: 1680711001.0764782 Packet dropped: false
Seq #:71 Time Received: 1680711001.0765655 Packet dropped: false
Seq #:72 Time Received: 1680711001.0766108 Packet dropped: false
Seq #:74 Time Received: 1680711001.08717 Packet dropped: true
Seq #:75 Time Received: 1680711001.0872622 Packet dropped: true
Seq #:73 Time Received: 1680711001.0981348 Packet dropped: false
Seq #:74 Time Received: 1680711001.0982578 Packet dropped: false
Seq #:75 Time Received: 1680711001.098312 Packet dropped: false
Seq #:76 Time Received: 1680711001.108748 Packet dropped: false
Seq #:77 Time Received: 1680711001.1088836 Packet dropped: false
Seq #:78 Time Received: 1680711001.1191258 Packet dropped: false
Seq #:79 Time Received: 1680711001.1193228 Packet dropped: false
Seq #:80 Time Received: 1680711001.119372 Packet dropped: false
Seq #:81 Time Received: 1680711001.1298578 Packet dropped: false
Seq #:82 Time Received: 1680711001.1300788 Packet dropped: false
Seq #:83 Time Received: 1680711001.1302218 Packet dropped: false
Seq #:84 Time Received: 1680711001.1404529 Packet dropped: false
Seq #:85 Time Received: 1680711001.1516347 Packet dropped: false
Seq #:86 Time Received: 1680711001.1517935 Packet dropped: false
Seq #:87 Time Received: 1680711001.1518412 Packet dropped: false
Seq #:89 Time Received: 1680711001.1620238 Packet dropped: true
Seq #:89 Time Received: 1680711001.1723485 Packet dropped: true
Seq #:90 Time Received: 1680711001.1724389 Packet dropped: true
Seq #:88 Time Received: 1680711001.1827462 Packet dropped: false
Seq #:89 Time Received: 1680711001.1829085 Packet dropped: false
Seq #:90 Time Received: 1680711001.1829321 Packet dropped: false
Seq #:91 Time Received: 1680711001.1933982 Packet dropped: false
Seq #:92 Time Received: 1680711001.1935055 Packet dropped: false
Seq #:93 Time Received: 1680711001.2040973 Packet dropped: false
Seq #:94 Time Received: 1680711001.2042956 Packet dropped: false
Seq #:95 Time Received: 1680711001.204478 Packet dropped: false
Seq #:96 Time Received: 1680711001.2149444 Packet dropped: false
Seq #:97 Time Received: 1680711001.2150755 Packet dropped: false
Seq #:98 Time Received: 1680711001.2151482 Packet dropped: false
Seq #:99 Time Received: 1680711001.225203 Packet dropped: false
Seq #:100 Time Received: 1680711001.2253084 Packet dropped: false
Seq #:101 Time Received: 1680711001.2253964 Packet dropped: false
Seq #:102 Time Received: 1680711001.2356598 Packet dropped: false
Seq #:103 Time Received: 1680711001.235754 Packet dropped: false
Seq #:104 Time Received: 1680711001.2357743 Packet dropped: false
Seq #:105 Time Received: 1680711001.246226 Packet dropped: false
Seq #:106 Time Received: 1680711001.2464402 Packet dropped: false
Seq #:107 Time Received: 1680711001.2465587 Packet dropped: false
Seq #:108 Time Received: 1680711001.2569585 Packet dropped: false
Seq #:109 Time Received: 1680711001.2571585 Packet dropped: false
Seq #:110 Time Received: 1680711001.2572753 Packet dropped: false
Seq #:111 Time Received: 1680711001.2693248 Packet dropped: false
Seq #:112 Time Received: 1680711001.269696 Packet dropped: false
Seq #:113 Time Received: 1680711001.2698238 Packet dropped: false
Seq #:114 Time Received: 1680711001.280646 Packet dropped: false
Seq #:115 Time Received: 1680711001.2810662 Packet dropped: false
Seq #:116 Time Received: 1680711001.2814739 Packet dropped: false
Seq #:117 Time Received: 1680711001.2916331 Packet dropped: false
Seq #:118 Time Received: 1680711001.2917964 Packet dropped: false
Seq #:119 Time Received: 1680711001.291893 Packet dropped: false
Seq #:120 Time Received: 1680711001.3027043 Packet dropped: false
Seq #:121 Time Received: 1680711001.3028924 Packet dropped: false
Seq #:122 Time Received: 1680711001.302973 Packet dropped: false
Seq #:123 Time Received: 1680711001.3137493 Packet dropped: false
Seq #:124 Time Received: 1680711001.3143215 Packet dropped: false
Seq #:125 Time Received: 1680711001.3146453 Packet dropped: false
Seq #:126 Time Received: 1680711001.3242521 Packet dropped: false
Seq #:127 Time Received: 1680711001.3244772 Packet dropped: false
Seq #:128 Time Received: 1680711001.3245275 Packet dropped: false
Seq #:129 Time Received: 1680711001.3359692 Packet dropped: false
Seq #:131 Time Received: 1680711001.3362913 Packet dropped: true
Seq #:130 Time Received: 1680711001.3471754 Packet dropped: false
Seq #:131 Time Received: 1680711001.3477292 Packet dropped: false
Seq #:132 Time Received: 1680711001.3480165 Packet dropped: false
Seq #:133 Time Received: 1680711001.3690968 Packet dropped: false
Seq #:134 Time Received: 1680711001.369243 Packet dropped: false
Seq #:135 Time Received: 1680711001.3692913 Packet dropped: false
Seq #:136 Time Received: 1680711001.3799803 Packet dropped: false
Seq #:137 Time Received: 1680711001.3803515 Packet dropped: false
Seq #:138 Time Received: 1680711001.3804753 Packet dropped: false
Seq #:139 Time Received: 1680711001.390322 Packet dropped: false
Seq #:140 Time Received: 1680711001.3904262 Packet dropped: false
Seq #:141 Time Received: 1680711001.3904793 Packet dropped: false
Seq #:142 Time Received: 1680711001.401234 Packet dropped: false
Seq #:144 Time Received: 1680711001.4013345 Packet dropped: true
Seq #:143 Time Received: 1680711001.4117818 Packet dropped: false
Seq #:144 Time Received: 1680711001.4119093 Packet dropped: false
Seq #:145 Time Received: 1680711001.4222355 Packet dropped: false
Seq #:147 Time Received: 1680711001.4223473 Packet dropped: true
Seq #:146 Time Received: 1680711001.4325795 Packet dropped: false
Seq #:147 Time Received: 1680711001.4326777 Packet dropped: false
Seq #:148 Time Received: 1680711001.432731 Packet dropped: false
Seq #:149 Time Received: 1680711001.4431055 Packet dropped: false
Seq #:151 Time Received: 1680711001.4432254 Packet dropped: true
Seq #:150 Time Received: 1680711001.4535232 Packet dropped: false
Seq #:151 Time Received: 1680711001.4538057 Packet dropped: false
Seq #:152 Time Received: 1680711001.4539113 Packet dropped: false
Seq #:153 Time Received: 1680711001.4646873 Packet dropped: false
Seq #:154 Time Received: 1680711001.464885 Packet dropped: false
Seq #:155 Time Received: 1680711001.4756773 Packet dropped: false
Seq #:156 Time Received: 1680711001.475787 Packet dropped: false
Seq #:157 Time Received: 1680711001.4758477 Packet dropped: false
Seq #:158 Time Received: 1680711001.4861 Packet dropped: false
Seq #:159 Time Received: 1680711001.4863343 Packet dropped: false
Seq #:160 Time Received: 1680711001.4863832 Packet dropped: false
Seq #:161 Time Received: 1680711001.4966853 Packet dropped: false
Seq #:162 Time Received: 1680711001.4970422 Packet dropped: false
Seq #:163 Time Received: 1680711001.497183 Packet dropped: false
Seq #:164 Time Received: 1680711001.5071087 Packet dropped: false
Seq #:165 Time Received: 1680711001.5072165 Packet dropped: false
Seq #:166 Time Received: 1680711001.5072784 Packet dropped: false
Seq #:167 Time Received: 1680711001.5183258 Packet dropped: false
Seq #:168 Time Received: 1680711001.5185552 Packet dropped: false
Seq #:169 Time Received: 1680711001.5185769 Packet dropped: false
Seq #:170 Time Received: 1680711001.5287402 Packet dropped: false
Seq #:171 Time Received: 1680711001.5288723 Packet dropped: false
Seq #:172 Time Received: 1680711001.5289285 Packet dropped: false
Seq #:173 Time Received: 1680711001.5394323 Packet dropped: false
Seq #:175 Time Received: 1680711001.5395439 Packet dropped: true
Seq #:174 Time Received: 1680711001.549808 Packet dropped: false
Seq #:175 Time Received: 1680711001.5607548 Packet dropped: false
Seq #:176 Time Received: 1680711001.5610957 Packet dropped: false
Seq #:177 Time Received: 1680711001.5612361 Packet dropped: false
Seq #:178 Time Received: 1680711001.5712922 Packet dropped: false
Seq #:179 Time Received: 1680711001.571382 Packet dropped: false
Seq #:180 Time Received: 1680711001.5714018 Packet dropped: false
Seq #:181 Time Received: 1680711001.5817456 Packet dropped: false
Seq #:182 Time Received: 1680711001.581927 Packet dropped: false
Seq #:183 Time Received: 1680711001.582007 Packet dropped: false
Seq #:184 Time Received: 1680711001.5920966 Packet dropped: false
Seq #:185 Time Received: 1680711001.592185 Packet dropped: false
Seq #:186 Time Received: 1680711001.5922298 Packet dropped: false
Seq #:187 Time Received: 1680711001.602798 Packet dropped: false
Seq #:188 Time Received: 1680711001.6029098 Packet dropped: false
Seq #:189 Time Received: 1680711001.6029568 Packet dropped: false
Seq #:190 Time Received: 1680711001.613503 Packet dropped: false
Seq #:192 Time Received: 1680711001.613874 Packet dropped: true
Seq #:191 Time Received: 1680711001.6238747 Packet dropped: false
Seq #:192 Time Received: 1680711001.6239665 Packet dropped: false
Seq #:193 Time Received: 1680711001.6348996 Packet dropped: false
Seq #:194 Time Received: 1680711001.6350265 Packet dropped: false
Seq #:195 Time Received: 1680711001.635076 Packet dropped: false
Seq #:196 Time Received: 1680711001.6452928 Packet dropped: false
Seq #:197 Time Received: 1680711001.6454284 Packet dropped: false
Seq #:198 Time Received: 1680711001.6454985 Packet dropped: false
Seq #:200 Time Received: 1680711001.6559553 Packet dropped: true
Seq #:201 Time Received: 1680711001.656099 Packet dropped: true
Seq #:199 Time Received: 1680711001.6665792 Packet dropped: false
Seq #:200 Time Received: 1680711001.6667962 Packet dropped: false
Seq #:201 Time Received: 1680711001.6670673 Packet dropped: false
Seq #:202 Time Received: 1680711001.6768043 Packet dropped: false
Seq #:203 Time Received: 1680711001.676894 Packet dropped: false
Seq #:204 Time Received: 1680711001.676944 Packet dropped: false
Seq #:205 Time Received: 1680711001.6871803 Packet dropped: false
Seq #:206 Time Received: 1680711001.6873388 Packet dropped: false
Seq #:207 Time Received: 1680711001.6873925 Packet dropped: false
Seq #:208 Time Received: 1680711001.6977124 Packet dropped: false
Seq #:209 Time Received: 1680711001.6978688 Packet dropped: false
Seq #:210 Time Received: 1680711001.6979141 Packet dropped: false
Seq #:211 Time Received: 1680711001.7083032 Packet dropped: false
Seq #:212 Time Received: 1680711001.7084093 Packet dropped: false
Seq #:213 Time Received: 1680711001.708469 Packet dropped: false
Seq #:214 Time Received: 1680711001.7191591 Packet dropped: false
Seq #:215 Time Received: 1680711001.7192547 Packet dropped: false
Seq #:216 Time Received: 1680711001.719275 Packet dropped: false
Seq #:217 Time Received: 1680711001.7298715 Packet dropped: false
Seq #:218 Time Received: 1680711001.7301006 Packet dropped: false
Seq #:219 Time Received: 1680711001.7302277 Packet dropped: false
Seq #:220 Time Received: 1680711001.7405357 Packet dropped: false
Seq #:221 Time Received: 1680711001.740641 Packet dropped: false
Seq #:222 Time Received: 1680711001.7407043 Packet dropped: false
Seq #:223 Time Received: 1680711001.75183 Packet dropped: false
Seq #:224 Time Received: 1680711001.752136 Packet dropped: false
Seq #:225 Time Received: 1680711001.7521863 Packet dropped: false
Seq #:226 Time Received: 1680711001.7621677 Packet dropped: false
Seq #:227 Time Received: 1680711001.7622664 Packet dropped: false
Seq #:228 Time Received: 1680711001.7622888 Packet dropped: false
Seq #:229 Time Received: 1680711001.7725563 Packet dropped: false
Seq #:230 Time Received: 1680711001.7726479 Packet dropped: false
Seq #:231 Time Received: 1680711001.7726986 Packet dropped: false
Seq #:232 Time Received: 1680711001.7832224 Packet dropped: false
Seq #:234 Time Received: 1680711001.7833734 Packet dropped: true
Seq #:234 Time Received: 1680711001.7941003 Packet dropped: true
Seq #:235 Time Received: 1680711001.7944458 Packet dropped: true
Seq #:233 Time Received: 1680711001.8047428 Packet dropped: false
Seq #:234 Time Received: 1680711001.8048348 Packet dropped: false
Seq #:235 Time Received: 1680711001.804855 Packet dropped: false
Seq #:236 Time Received: 1680711001.8152 Packet dropped: false
Seq #:237 Time Received: 1680711001.8154042 Packet dropped: false
Seq #:238 Time Received: 1680711001.8154726 Packet dropped: false
Seq #:239 Time Received: 1680711001.8254802 Packet dropped: false
Seq #:240 Time Received: 1680711001.8255694 Packet dropped: false
Seq #:241 Time Received: 1680711001.8256152 Packet dropped: false
Seq #:242 Time Received: 1680711001.8362896 Packet dropped: false
Seq #:244 Time Received: 1680711001.836554 Packet dropped: true
Seq #:243 Time Received: 1680711001.847184 Packet dropped: false
Seq #:244 Time Received: 1680711001.8475974 Packet dropped: false
